Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
DllImport;ConstantInt;.NET 6.0;;Overhead;Jitting;1;1;308200
DllImport;ConstantInt;.NET 6.0;;Workload;Jitting;1;1;18009300
DllImport;ConstantInt;.NET 6.0;;Overhead;Jitting;2;16;30187.5
DllImport;ConstantInt;.NET 6.0;;Workload;Jitting;2;16;28368.75
DllImport;ConstantInt;.NET 6.0;;Workload;Pilot;1;16;100
DllImport;ConstantInt;.NET 6.0;;Workload;Pilot;2;3000000;10.45
DllImport;ConstantInt;.NET 6.0;;Workload;Pilot;3;28709696;10.03
DllImport;ConstantInt;.NET 6.0;;Workload;Pilot;4;29902240;9.43
DllImport;ConstantInt;.NET 6.0;;Workload;Pilot;5;31823504;9.34
DllImport;ConstantInt;.NET 6.0;;Workload;Pilot;6;32114832;9.35
DllImport;ConstantInt;.NET 6.0;;Workload;Pilot;7;32096176;9.38
DllImport;ConstantInt;.NET 6.0;;Workload;Pilot;8;31998768;9.38
DllImport;ConstantInt;.NET 6.0;;Overhead;Warmup;1;31998768;2.53
DllImport;ConstantInt;.NET 6.0;;Overhead;Warmup;2;31998768;2.54
DllImport;ConstantInt;.NET 6.0;;Overhead;Warmup;3;31998768;2.35
DllImport;ConstantInt;.NET 6.0;;Overhead;Warmup;4;31998768;2.03
DllImport;ConstantInt;.NET 6.0;;Overhead;Warmup;5;31998768;2.03
DllImport;ConstantInt;.NET 6.0;;Overhead;Warmup;6;31998768;2.05
DllImport;ConstantInt;.NET 6.0;;Overhead;Warmup;7;31998768;2.03
DllImport;ConstantInt;.NET 6.0;;Overhead;Actual;1;31998768;2.03
DllImport;ConstantInt;.NET 6.0;;Overhead;Actual;2;31998768;2.04
DllImport;ConstantInt;.NET 6.0;;Overhead;Actual;3;31998768;2.04
DllImport;ConstantInt;.NET 6.0;;Overhead;Actual;4;31998768;2.04
DllImport;ConstantInt;.NET 6.0;;Overhead;Actual;5;31998768;2.03
DllImport;ConstantInt;.NET 6.0;;Overhead;Actual;6;31998768;2.03
DllImport;ConstantInt;.NET 6.0;;Overhead;Actual;7;31998768;2.03
DllImport;ConstantInt;.NET 6.0;;Overhead;Actual;8;31998768;2.19
DllImport;ConstantInt;.NET 6.0;;Overhead;Actual;9;31998768;2.04
DllImport;ConstantInt;.NET 6.0;;Overhead;Actual;10;31998768;2.04
DllImport;ConstantInt;.NET 6.0;;Overhead;Actual;11;31998768;2.03
DllImport;ConstantInt;.NET 6.0;;Overhead;Actual;12;31998768;2.04
DllImport;ConstantInt;.NET 6.0;;Overhead;Actual;13;31998768;2.03
DllImport;ConstantInt;.NET 6.0;;Overhead;Actual;14;31998768;2.03
DllImport;ConstantInt;.NET 6.0;;Overhead;Actual;15;31998768;2.03
DllImport;ConstantInt;.NET 6.0;;Workload;Warmup;1;31998768;9.34
DllImport;ConstantInt;.NET 6.0;;Workload;Warmup;2;31998768;9.35
DllImport;ConstantInt;.NET 6.0;;Workload;Warmup;3;31998768;9.34
DllImport;ConstantInt;.NET 6.0;;Workload;Warmup;4;31998768;9.34
DllImport;ConstantInt;.NET 6.0;;Workload;Warmup;5;31998768;9.34
DllImport;ConstantInt;.NET 6.0;;Workload;Actual;1;31998768;9.36
DllImport;ConstantInt;.NET 6.0;;Workload;Actual;2;31998768;9.34
DllImport;ConstantInt;.NET 6.0;;Workload;Actual;3;31998768;9.38
DllImport;ConstantInt;.NET 6.0;;Workload;Actual;4;31998768;9.36
DllImport;ConstantInt;.NET 6.0;;Workload;Actual;5;31998768;9.34
DllImport;ConstantInt;.NET 6.0;;Workload;Actual;6;31998768;9.34
DllImport;ConstantInt;.NET 6.0;;Workload;Actual;7;31998768;9.35
DllImport;ConstantInt;.NET 6.0;;Workload;Actual;8;31998768;9.34
DllImport;ConstantInt;.NET 6.0;;Workload;Actual;9;31998768;9.34
DllImport;ConstantInt;.NET 6.0;;Workload;Actual;10;31998768;9.34
DllImport;ConstantInt;.NET 6.0;;Workload;Actual;11;31998768;9.35
DllImport;ConstantInt;.NET 6.0;;Workload;Actual;12;31998768;9.34
DllImport;ConstantInt;.NET 6.0;;Workload;Actual;13;31998768;9.34
DllImport;ConstantInt;.NET 6.0;;Workload;Actual;14;31998768;9.34
DllImport;ConstantInt;.NET 6.0;;Workload;Actual;15;31998768;9.34
DllImport;ConstantInt;.NET 6.0;;Workload;Result;1;31998768;7.33
DllImport;ConstantInt;.NET 6.0;;Workload;Result;2;31998768;7.31
DllImport;ConstantInt;.NET 6.0;;Workload;Result;3;31998768;7.32
DllImport;ConstantInt;.NET 6.0;;Workload;Result;4;31998768;7.3
DllImport;ConstantInt;.NET 6.0;;Workload;Result;5;31998768;7.3
DllImport;ConstantInt;.NET 6.0;;Workload;Result;6;31998768;7.32
DllImport;ConstantInt;.NET 6.0;;Workload;Result;7;31998768;7.31
DllImport;ConstantInt;.NET 6.0;;Workload;Result;8;31998768;7.3
DllImport;ConstantInt;.NET 6.0;;Workload;Result;9;31998768;7.3
DllImport;ConstantInt;.NET 6.0;;Workload;Result;10;31998768;7.32
DllImport;ConstantInt;.NET 6.0;;Workload;Result;11;31998768;7.3
DllImport;ConstantInt;.NET 6.0;;Workload;Result;12;31998768;7.31
DllImport;ConstantInt;.NET 6.0;;Workload;Result;13;31998768;7.31
DllImport;ConstantInt;.NET 6.0;;Workload;Result;14;31998768;7.31
DllImport;ConstantInt;.NET 8.0;;Overhead;Jitting;1;1;309700
DllImport;ConstantInt;.NET 8.0;;Workload;Jitting;1;1;17695300
DllImport;ConstantInt;.NET 8.0;;Overhead;Jitting;2;16;31087.5
DllImport;ConstantInt;.NET 8.0;;Workload;Jitting;2;16;27306.25
DllImport;ConstantInt;.NET 8.0;;Workload;Pilot;1;16;62.5
DllImport;ConstantInt;.NET 8.0;;Workload;Pilot;2;4800000;10.39
DllImport;ConstantInt;.NET 8.0;;Workload;Pilot;3;28870400;9.76
DllImport;ConstantInt;.NET 8.0;;Workload;Pilot;4;30735296;9.34
DllImport;ConstantInt;.NET 8.0;;Workload;Pilot;5;32133328;9.38
DllImport;ConstantInt;.NET 8.0;;Workload;Pilot;6;31973248;9.37
DllImport;ConstantInt;.NET 8.0;;Workload;Pilot;7;32005120;9.37
DllImport;ConstantInt;.NET 8.0;;Workload;Pilot;8;32015408;9.37
DllImport;ConstantInt;.NET 8.0;;Workload;Pilot;9;32010016;9.38
DllImport;ConstantInt;.NET 8.0;;Overhead;Warmup;1;32010016;2.88
DllImport;ConstantInt;.NET 8.0;;Overhead;Warmup;2;32010016;2.89
DllImport;ConstantInt;.NET 8.0;;Overhead;Warmup;3;32010016;2.5
DllImport;ConstantInt;.NET 8.0;;Overhead;Warmup;4;32010016;2.18
DllImport;ConstantInt;.NET 8.0;;Overhead;Warmup;5;32010016;2.19
DllImport;ConstantInt;.NET 8.0;;Overhead;Warmup;6;32010016;2.19
DllImport;ConstantInt;.NET 8.0;;Overhead;Actual;1;32010016;2.18
DllImport;ConstantInt;.NET 8.0;;Overhead;Actual;2;32010016;2.18
DllImport;ConstantInt;.NET 8.0;;Overhead;Actual;3;32010016;2.18
DllImport;ConstantInt;.NET 8.0;;Overhead;Actual;4;32010016;2.19
DllImport;ConstantInt;.NET 8.0;;Overhead;Actual;5;32010016;2.19
DllImport;ConstantInt;.NET 8.0;;Overhead;Actual;6;32010016;2.19
DllImport;ConstantInt;.NET 8.0;;Overhead;Actual;7;32010016;2.2
DllImport;ConstantInt;.NET 8.0;;Overhead;Actual;8;32010016;2.37
DllImport;ConstantInt;.NET 8.0;;Overhead;Actual;9;32010016;2.18
DllImport;ConstantInt;.NET 8.0;;Overhead;Actual;10;32010016;2.18
DllImport;ConstantInt;.NET 8.0;;Overhead;Actual;11;32010016;2.18
DllImport;ConstantInt;.NET 8.0;;Overhead;Actual;12;32010016;2.18
DllImport;ConstantInt;.NET 8.0;;Overhead;Actual;13;32010016;2.19
DllImport;ConstantInt;.NET 8.0;;Overhead;Actual;14;32010016;2.19
DllImport;ConstantInt;.NET 8.0;;Overhead;Actual;15;32010016;2.19
DllImport;ConstantInt;.NET 8.0;;Workload;Warmup;1;32010016;9.4
DllImport;ConstantInt;.NET 8.0;;Workload;Warmup;2;32010016;9.38
DllImport;ConstantInt;.NET 8.0;;Workload;Warmup;3;32010016;9.37
DllImport;ConstantInt;.NET 8.0;;Workload;Warmup;4;32010016;9.34
DllImport;ConstantInt;.NET 8.0;;Workload;Warmup;5;32010016;9.46
DllImport;ConstantInt;.NET 8.0;;Workload;Actual;1;32010016;9.41
DllImport;ConstantInt;.NET 8.0;;Workload;Actual;2;32010016;9.37
DllImport;ConstantInt;.NET 8.0;;Workload;Actual;3;32010016;9.48
DllImport;ConstantInt;.NET 8.0;;Workload;Actual;4;32010016;9.34
DllImport;ConstantInt;.NET 8.0;;Workload;Actual;5;32010016;9.43
DllImport;ConstantInt;.NET 8.0;;Workload;Actual;6;32010016;9.43
DllImport;ConstantInt;.NET 8.0;;Workload;Actual;7;32010016;9.38
DllImport;ConstantInt;.NET 8.0;;Workload;Actual;8;32010016;9.39
DllImport;ConstantInt;.NET 8.0;;Workload;Actual;9;32010016;9.53
DllImport;ConstantInt;.NET 8.0;;Workload;Actual;10;32010016;9.39
DllImport;ConstantInt;.NET 8.0;;Workload;Actual;11;32010016;9.49
DllImport;ConstantInt;.NET 8.0;;Workload;Actual;12;32010016;9.38
DllImport;ConstantInt;.NET 8.0;;Workload;Actual;13;32010016;9.56
DllImport;ConstantInt;.NET 8.0;;Workload;Actual;14;32010016;9.37
DllImport;ConstantInt;.NET 8.0;;Workload;Actual;15;32010016;9.53
DllImport;ConstantInt;.NET 8.0;;Workload;Result;1;32010016;7.23
DllImport;ConstantInt;.NET 8.0;;Workload;Result;2;32010016;7.19
DllImport;ConstantInt;.NET 8.0;;Workload;Result;3;32010016;7.3
DllImport;ConstantInt;.NET 8.0;;Workload;Result;4;32010016;7.15
DllImport;ConstantInt;.NET 8.0;;Workload;Result;5;32010016;7.25
DllImport;ConstantInt;.NET 8.0;;Workload;Result;6;32010016;7.24
DllImport;ConstantInt;.NET 8.0;;Workload;Result;7;32010016;7.19
DllImport;ConstantInt;.NET 8.0;;Workload;Result;8;32010016;7.2
DllImport;ConstantInt;.NET 8.0;;Workload;Result;9;32010016;7.35
DllImport;ConstantInt;.NET 8.0;;Workload;Result;10;32010016;7.2
DllImport;ConstantInt;.NET 8.0;;Workload;Result;11;32010016;7.31
DllImport;ConstantInt;.NET 8.0;;Workload;Result;12;32010016;7.19
DllImport;ConstantInt;.NET 8.0;;Workload;Result;13;32010016;7.37
DllImport;ConstantInt;.NET 8.0;;Workload;Result;14;32010016;7.19
DllImport;ConstantInt;.NET 8.0;;Workload;Result;15;32010016;7.34
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Jitting;1;1;374700
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Jitting;1;1;17973900
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Jitting;2;16;33493.75
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Jitting;2;16;33737.5
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Pilot;1;16;131.25
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Pilot;2;2285728;17.49
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Pilot;3;17151280;14.94
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Pilot;4;20074544;15.03
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Pilot;5;19958160;14.99
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Pilot;6;20009248;14.99
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Pilot;7;20011472;14.99
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Pilot;8;20011536;15.35
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Pilot;9;19544896;15
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Pilot;10;20003328;15.32
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Warmup;1;20003328;2.01
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Warmup;2;20003328;2.01
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Warmup;3;20003328;2.02
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Warmup;4;20003328;2.02
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Warmup;5;20003328;2.02
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Warmup;6;20003328;2.01
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Warmup;7;20003328;2.01
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Warmup;8;20003328;2.02
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Warmup;9;20003328;2.01
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Actual;1;20003328;2.01
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Actual;2;20003328;2.01
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Actual;3;20003328;2.02
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Actual;4;20003328;2.02
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Actual;5;20003328;2.02
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Actual;6;20003328;2.01
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Actual;7;20003328;2.07
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Actual;8;20003328;2.01
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Actual;9;20003328;2.01
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Actual;10;20003328;2.01
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Actual;11;20003328;2.01
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Actual;12;20003328;2.01
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Actual;13;20003328;2.02
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Actual;14;20003328;2.01
DllImport;ConstantInt;.NET Framework 4.8;;Overhead;Actual;15;20003328;2.01
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Warmup;1;20003328;14.7
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Warmup;2;20003328;14.61
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Warmup;3;20003328;14.79
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Warmup;4;20003328;14.69
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Warmup;5;20003328;15.02
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Actual;1;20003328;16.44
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Actual;2;20003328;16.72
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Actual;3;20003328;16.38
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Actual;4;20003328;16.45
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Actual;5;20003328;16.46
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Actual;6;20003328;16.82
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Actual;7;20003328;16.4
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Actual;8;20003328;16.75
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Actual;9;20003328;16.37
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Actual;10;20003328;16.99
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Actual;11;20003328;16.56
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Actual;12;20003328;16.7
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Actual;13;20003328;16.38
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Actual;14;20003328;16.6
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Actual;15;20003328;16.43
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;1;20003328;14.43
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;2;20003328;14.7
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;3;20003328;14.37
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;4;20003328;14.44
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;5;20003328;14.45
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;6;20003328;14.81
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;7;20003328;14.39
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;8;20003328;14.74
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;9;20003328;14.36
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;10;20003328;14.98
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;11;20003328;14.55
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;12;20003328;14.69
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;13;20003328;14.36
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;14;20003328;14.59
DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;15;20003328;14.41
FuncPointers;ConstantInt;.NET 6.0;;Overhead;Jitting;1;1;309800
FuncPointers;ConstantInt;.NET 6.0;;Workload;Jitting;1;1;30772200
FuncPointers;ConstantInt;.NET 6.0;;Workload;Pilot;1;4;200
FuncPointers;ConstantInt;.NET 6.0;;Workload;Pilot;2;1500000;14.76
FuncPointers;ConstantInt;.NET 6.0;;Workload;Pilot;3;20323551;10.97
FuncPointers;ConstantInt;.NET 6.0;;Workload;Pilot;4;27343368;9.04
FuncPointers;ConstantInt;.NET 6.0;;Workload;Pilot;5;33194159;9.03
FuncPointers;ConstantInt;.NET 6.0;;Workload;Pilot;6;33213678;9.03
FuncPointers;ConstantInt;.NET 6.0;;Workload;Pilot;7;33236633;9.03
FuncPointers;ConstantInt;.NET 6.0;;Workload;Pilot;8;33230264;9.18
FuncPointers;ConstantInt;.NET 6.0;;Workload;Pilot;9;32696622;9.04
FuncPointers;ConstantInt;.NET 6.0;;Workload;Pilot;10;33204204;9.03
FuncPointers;ConstantInt;.NET 6.0;;Workload;Pilot;11;33218942;9
FuncPointers;ConstantInt;.NET 6.0;;Workload;Pilot;12;33338360;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Pilot;13;33366499;9.07
FuncPointers;ConstantInt;.NET 6.0;;Workload;Warmup;1;33366499;9.17
FuncPointers;ConstantInt;.NET 6.0;;Workload;Warmup;2;33366499;9
FuncPointers;ConstantInt;.NET 6.0;;Workload;Warmup;3;33366499;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Warmup;4;33366499;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Warmup;5;33366499;9.03
FuncPointers;ConstantInt;.NET 6.0;;Workload;Actual;1;33366499;9
FuncPointers;ConstantInt;.NET 6.0;;Workload;Actual;2;33366499;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Actual;3;33366499;9.01
FuncPointers;ConstantInt;.NET 6.0;;Workload;Actual;4;33366499;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Actual;5;33366499;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Actual;6;33366499;9
FuncPointers;ConstantInt;.NET 6.0;;Workload;Actual;7;33366499;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Actual;8;33366499;9.03
FuncPointers;ConstantInt;.NET 6.0;;Workload;Actual;9;33366499;9.03
FuncPointers;ConstantInt;.NET 6.0;;Workload;Actual;10;33366499;9.04
FuncPointers;ConstantInt;.NET 6.0;;Workload;Actual;11;33366499;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Actual;12;33366499;9.11
FuncPointers;ConstantInt;.NET 6.0;;Workload;Actual;13;33366499;9.01
FuncPointers;ConstantInt;.NET 6.0;;Workload;Actual;14;33366499;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Actual;15;33366499;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Result;1;33366499;9
FuncPointers;ConstantInt;.NET 6.0;;Workload;Result;2;33366499;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Result;3;33366499;9.01
FuncPointers;ConstantInt;.NET 6.0;;Workload;Result;4;33366499;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Result;5;33366499;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Result;6;33366499;9
FuncPointers;ConstantInt;.NET 6.0;;Workload;Result;7;33366499;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Result;8;33366499;9.03
FuncPointers;ConstantInt;.NET 6.0;;Workload;Result;9;33366499;9.03
FuncPointers;ConstantInt;.NET 6.0;;Workload;Result;10;33366499;9.04
FuncPointers;ConstantInt;.NET 6.0;;Workload;Result;11;33366499;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Result;12;33366499;9.01
FuncPointers;ConstantInt;.NET 6.0;;Workload;Result;13;33366499;8.99
FuncPointers;ConstantInt;.NET 6.0;;Workload;Result;14;33366499;8.99
FuncPointers;ConstantInt;.NET 8.0;;Overhead;Jitting;1;1;302800
FuncPointers;ConstantInt;.NET 8.0;;Workload;Jitting;1;1;30569200
FuncPointers;ConstantInt;.NET 8.0;;Workload;Pilot;1;4;350
FuncPointers;ConstantInt;.NET 8.0;;Workload;Pilot;2;857143;11.81
FuncPointers;ConstantInt;.NET 8.0;;Workload;Pilot;3;25398084;10.24
FuncPointers;ConstantInt;.NET 8.0;;Workload;Pilot;4;29286907;8.99
FuncPointers;ConstantInt;.NET 8.0;;Workload;Pilot;5;33362732;9
FuncPointers;ConstantInt;.NET 8.0;;Workload;Pilot;6;33348503;8.99
FuncPointers;ConstantInt;.NET 8.0;;Workload;Pilot;7;33352072;9
FuncPointers;ConstantInt;.NET 8.0;;Workload;Pilot;8;33331373;8.99
FuncPointers;ConstantInt;.NET 8.0;;Workload;Pilot;9;33362901;9
FuncPointers;ConstantInt;.NET 8.0;;Workload;Warmup;1;33362901;9
FuncPointers;ConstantInt;.NET 8.0;;Workload;Warmup;2;33362901;9.14
FuncPointers;ConstantInt;.NET 8.0;;Workload;Warmup;3;33362901;9.03
FuncPointers;ConstantInt;.NET 8.0;;Workload;Warmup;4;33362901;9
FuncPointers;ConstantInt;.NET 8.0;;Workload;Warmup;5;33362901;9
FuncPointers;ConstantInt;.NET 8.0;;Workload;Actual;1;33362901;9.03
FuncPointers;ConstantInt;.NET 8.0;;Workload;Actual;2;33362901;9.03
FuncPointers;ConstantInt;.NET 8.0;;Workload;Actual;3;33362901;9.02
FuncPointers;ConstantInt;.NET 8.0;;Workload;Actual;4;33362901;9.01
FuncPointers;ConstantInt;.NET 8.0;;Workload;Actual;5;33362901;9.03
FuncPointers;ConstantInt;.NET 8.0;;Workload;Actual;6;33362901;9.01
FuncPointers;ConstantInt;.NET 8.0;;Workload;Actual;7;33362901;9.01
FuncPointers;ConstantInt;.NET 8.0;;Workload;Actual;8;33362901;9.06
FuncPointers;ConstantInt;.NET 8.0;;Workload;Actual;9;33362901;9.01
FuncPointers;ConstantInt;.NET 8.0;;Workload;Actual;10;33362901;9.01
FuncPointers;ConstantInt;.NET 8.0;;Workload;Actual;11;33362901;9.02
FuncPointers;ConstantInt;.NET 8.0;;Workload;Actual;12;33362901;9.06
FuncPointers;ConstantInt;.NET 8.0;;Workload;Actual;13;33362901;9.02
FuncPointers;ConstantInt;.NET 8.0;;Workload;Actual;14;33362901;9.02
